# Correlation function shape: (8, 1, 1, 16, 32)
# Format: [WL_index][pol][qext][gamma][time] value
# Shape dimensions: (WL_indices, polarizations, momentum_transfers, gamma_matrices, time_slices)

  1.16717623e+02+4.68511011e+01j  3.72873794e+02+2.02673968e+02j
  5.34281005e+02+8.76779318e+02j  4.89898346e+02+4.30485828e+03j
  8.83922847e+03+2.77216759e+04j  4.45041911e+04+1.00835176e+05j
  1.85756631e+05+1.94356600e+05j  3.06263753e+05+2.19715484e+05j]
WL1_P0_Q0_T: [ 1.09038578e+07-5.45979891e+06j  1.14980657e+07-2.29978256e+06j
  7.01873191e+06-2.17509457e+06j  1.10694078e+07-3.60926907e+06j
  7.69645726e+05-6.56057172e+06j  2.82343956e+04-3.20839201e+04j
  4.18489693e+04+1.28421114e+04j  1.01073575e+04+5.76742854e+03j
  6.89082533e+03-1.94904576e+03j  3.81133916e+03-2.18893485e+03j
  1.22282429e+03-7.48646266e+02j  2.81176624e+02-1.56722474e+02j
  8.39689433e+01-5.70375493e+01j -4.24912541e-01-9.62098735e+00j
  6.79357129e+00-6.14529769e+00j  9.61634506e-01-6.75543513e-01j
  4.70805828e-01-2.33369473e-01j -2.68743806e-02-6.44869398e-01j
  1.53839244e-01-4.58922672e-01j  4.74660854e-01-4.23697756e-01j
  5.94306932e-01-1.03455259e+00j -2.93250585e-02-2.78688034e+00j
  9.25311233e-01-1.07019222e+01j -2.66404250e+00-2.11723663e+01j
 -1.57042182e+01-2.39293737e+01j -1.13266501e+02-1.67491925e+01j
  2.14376450e+02+1.44567233e+02j -7.92220685e+01+8.13217675e+02j
  1.89395831e+03+1.06036458e+04j -1.44480347e+04+3.29502563e+04j
 -3.05010835e+04+6.69650560e+04j -4.28083079e+05+3.46322716e+05j]
WL1_P0_Q0_T5: [ 2.07897728e+06+1.45883183e+06j -2.43378573e+06+1.70934696e+05j
 -3.96898670e+06+1.49479340e+06j -1.45448310e+06+2.52156445e+05j
  1.47612248e+06+4.79359791e+05j -1.22207576e+05+5.16257359e+04j
